Temperature,Humidity,"PM2,5",PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
39.30,78.90,68.90,85.20,43.70,13.00,1.70,8.50,570.00,2
24.70,64.90,17.30,37.00,27.20,14.90,1.48,5.50,453.00,2
27.80,62.80,8.70,13.20,29.70,15.80,1.40,8.10,604.00,1
17.40,56.50,2.60,6.90,21.00,3.50,0.92,11.60,475.00,0
18.10,70.10,3.10,8.10,19.70,5.80,1.18,12.90,273.00,0
25.60,78.10,1.10,5.20,21.30,6.10,0.89,10.90,524.00,0
22.40,69.30,2.20,8.40,19.60,3.00,0.92,10.20,339.00,0
25.30,47.40,70.70,84.80,22.40,8.20,1.59,13.20,587.00,1
42.10,89.80,12.10,35.30,41.40,30.40,2.67,2.80,861.00,3
27.50,45.30,2.80,10.10,13.70,4.10,0.82,10.60,236.00,0
32.60,65.10,4.10,19.30,28.00,14.50,1.45,6.30,509.00,1
46.10,100.30,144.00,169.80,42.50,16.10,2.30,7.30,443.00,3
33.50,81.20,23.40,56.50,34.20,27.20,1.95,3.70,600.00,3
48.10,94.10,4.20,19.00,23.70,6.00,1.57,6.00,625.00,2
31.60,76.70,21.40,26.90,30.10,17.40,1.29,7.60,663.00,1
29.00,83.50,31.50,44.40,27.00,-2.80,1.49,5.70,538.00,1
24.90,82.20,19.50,27.90,25.60,2.00,1.54,8.10,458.00,1
27.70,99.40,17.80,29.90,37.50,9.90,1.74,5.40,588.00,2
20.80,48.50,16.00,19.70,11.20,2.50,1.17,10.20,432.00,0
28.20,71.70,75.20,90.00,30.80,5.00,1.81,4.80,765.00,2
32.00,69.70,95.70,110.40,36.10,20.50,2.30,6.80,673.00,2
21.50,60.00,14.60,20.60,20.90,1.60,0.94,10.70,587.00,0
29.60,63.10,12.80,15.90,22.00,3.80,1.16,11.00,377.00,0
17.50,73.80,3.30,8.80,16.20,8.40,0.83,10.80,217.00,0
33.20,49.80,1.40,23.30,23.00,25.80,2.06,6.80,730.00,2
58.60,66.00,44.00,54.00,44.30,22.70,3.09,5.20,641.00,3
28.10,51.80,36.00,40.30,26.40,5.40,1.15,10.80,264.00,0
32.00,74.90,43.30,45.50,28.80,9.50,1.42,7.80,598.00,1
25.00,63.90,9.30,10.80,15.80,4.60,0.92,10.10,490.00,0
25.70,69.30,15.70,25.00,27.70,10.60,1.44,9.50,482.00,1
35.10,69.20,7.90,30.30,35.30,27.60,2.07,4.90,724.00,3
26.70,63.20,6.80,9.30,13.40,4.90,0.98,10.00,358.00,0
20.40,44.90,4.60,9.20,20.50,5.70,1.03,10.20,545.00,0
24.60,84.20,5.20,19.20,22.50,9.00,1.48,7.30,623.00,1
25.90,62.80,25.80,35.60,31.20,19.00,1.48,5.30,411.00,1
22.10,54.00,10.60,15.40,13.90,8.90,1.00,10.50,265.00,0
34.10,97.90,54.00,76.80,31.60,16.40,2.15,6.60,513.00,2
24.90,63.50,6.10,13.90,17.20,4.30,1.18,16.40,390.00,0
28.00,55.20,12.40,21.20,27.70,3.70,0.99,10.60,467.00,0
26.70,53.90,2.90,6.40,11.10,6.60,0.96,11.80,533.00,0
30.40,101.10,28.60,42.60,39.90,4.00,2.20,6.80,639.00,2
41.40,65.40,34.30,52.80,42.70,9.40,1.87,2.50,721.00,3
25.50,73.40,13.80,21.40,25.70,3.80,0.95,11.00,194.00,0
28.20,49.60,17.00,21.70,19.70,11.30,0.99,11.10,214.00,0
36.60,75.50,32.20,41.30,32.10,9.40,1.95,4.40,543.00,2
18.80,77.70,11.00,15.80,20.00,5.60,1.09,11.20,409.00,0
26.30,77.50,23.10,29.50,15.10,3.70,0.92,10.40,399.00,0
34.90,96.90,11.40,30.20,36.50,20.30,1.89,6.80,680.00,2
23.00,50.70,1.10,5.00,24.80,2.10,1.12,12.40,593.00,0
22.30,78.80,19.30,26.00,26.10,5.50,0.82,10.70,214.00,0
21.40,76.90,2.30,6.70,23.40,2.80,1.09,14.70,338.00,0
44.70,75.60,6.60,28.30,25.70,23.50,2.10,4.10,643.00,2
22.40,73.00,12.20,15.00,26.60,3.60,0.97,12.90,266.00,0
32.30,82.00,8.80,18.70,29.80,14.70,2.03,5.70,600.00,2
33.50,70.80,8.10,16.30,22.00,15.90,1.63,5.10,527.00,1
33.10,52.00,7.20,15.90,38.90,12.10,1.46,7.30,452.00,1
25.50,48.00,15.50,19.90,18.60,7.70,1.04,10.30,503.00,0
29.90,77.80,1.50,23.40,43.80,20.00,1.89,6.00,681.00,2
29.30,67.50,1.90,5.00,12.10,4.50,1.12,11.00,576.00,0
23.90,73.90,25.90,28.50,21.50,3.10,1.45,5.50,562.00,1
23.70,40.00,20.70,23.00,20.40,6.20,1.05,12.50,318.00,0
21.90,70.10,5.40,10.40,13.50,1.10,1.09,12.50,224.00,0
44.90,105.80,24.50,47.40,39.90,26.70,2.36,4.00,878.00,3
27.00,45.50,6.20,13.00,24.30,5.00,1.01,10.70,205.00,0
49.60,87.50,81.90,87.00,40.40,18.40,2.14,2.90,631.00,3
33.40,78.50,101.60,109.90,19.30,9.20,1.32,5.00,334.00,1
23.50,51.60,0.00,8.30,23.50,7.40,0.92,19.70,450.00,0
22.20,75.70,19.00,20.70,20.10,5.30,1.03,10.70,316.00,0
35.40,51.90,48.40,53.00,21.00,10.40,1.53,6.60,628.00,1
41.50,68.20,3.40,15.40,24.50,6.40,1.38,4.80,748.00,2
21.00,60.50,4.60,8.90,15.10,6.80,0.93,10.20,378.00,0
31.30,73.70,20.30,30.70,31.50,12.50,1.76,7.30,512.00,1
46.80,91.60,240.10,261.50,40.30,37.60,2.46,3.10,879.00,3
23.90,66.70,14.30,16.90,21.80,7.80,1.07,10.40,413.00,0
24.60,45.10,0.40,6.40,21.20,1.70,0.94,10.10,226.00,0
24.10,59.30,14.40,33.10,31.00,16.70,2.00,5.30,622.00,2
41.40,82.20,73.60,89.80,35.10,13.30,2.84,4.10,620.00,3
22.50,73.00,0.20,6.20,15.00,5.50,0.95,14.20,543.00,0
26.70,57.90,50.00,59.60,26.30,9.40,1.68,6.30,541.00,1
24.60,51.30,3.90,8.00,21.70,5.90,0.98,12.80,454.00,0
32.00,70.70,8.40,11.30,24.50,6.10,1.60,8.20,382.00,1
29.50,77.20,27.90,44.40,26.30,23.10,1.68,7.70,586.00,2
32.50,68.30,33.20,40.10,29.00,9.50,1.52,6.50,410.00,1
33.00,56.80,1.90,5.00,36.10,7.60,1.75,7.50,481.00,1
30.10,86.80,7.30,22.40,27.90,6.00,1.29,6.00,690.00,1
22.30,75.40,0.70,4.70,23.70,7.30,0.93,11.40,291.00,0
27.40,81.50,18.90,30.40,22.60,12.80,1.55,5.10,341.00,1
28.30,40.60,2.30,6.90,25.30,4.00,0.88,12.50,590.00,0
30.80,68.90,2.00,11.50,23.60,13.00,1.46,7.10,638.00,1
27.70,78.70,1.10,20.50,28.20,9.80,1.53,5.50,449.00,1
33.30,82.60,1.20,5.60,30.10,5.90,1.32,5.90,310.00,1
22.90,66.90,7.80,16.30,21.80,8.10,1.07,10.00,435.00,0
29.60,78.90,9.30,19.00,31.30,11.20,1.74,6.80,714.00,1
28.00,83.90,20.90,37.30,21.30,11.10,1.56,5.70,442.00,1
33.40,85.50,11.70,31.70,41.70,12.40,2.03,3.00,927.00,3
22.90,40.50,3.70,7.30,13.40,0.90,1.12,12.60,246.00,0
23.10,59.70,13.30,25.30,22.90,14.10,1.30,6.30,598.00,1
36.20,77.10,35.30,43.90,20.40,14.40,1.38,5.60,599.00,1
27.60,75.90,20.30,25.90,26.60,4.90,1.11,10.80,334.00,0
32.80,60.40,1.60,12.80,28.10,5.70,1.36,12.50,406.00,1
21.60,71.50,1.30,6.50,23.80,4.80,0.89,13.80,384.00,0
31.40,81.80,4.30,17.50,21.80,12.80,1.47,5.10,437.00,1
27.40,63.00,11.00,21.10,23.20,9.60,1.27,6.60,333.00,1
24.20,64.40,1.10,7.20,11.70,8.60,1.08,10.90,239.00,0
47.30,88.40,104.90,127.40,44.60,21.70,2.71,8.20,648.00,3
40.00,88.70,29.30,46.00,45.10,20.70,2.03,3.20,821.00,3
29.20,72.10,25.50,32.30,13.30,5.70,1.08,10.90,358.00,0
20.10,41.70,3.60,8.20,23.20,9.10,0.97,10.40,370.00,0
42.60,94.60,17.90,30.10,44.30,4.00,1.91,2.60,525.00,3
33.70,72.70,139.40,159.90,33.10,22.80,2.28,5.60,576.00,2
29.00,64.00,8.60,21.60,26.60,8.10,1.53,5.00,647.00,1
30.70,54.30,5.70,20.80,26.50,13.40,1.87,7.20,437.00,1
37.30,90.70,33.60,43.80,35.60,19.60,2.45,3.10,754.00,3
33.40,70.50,7.50,15.20,24.10,8.60,1.49,6.00,417.00,1
33.70,89.40,30.00,47.30,26.50,8.10,1.41,6.00,613.00,1
23.00,44.60,23.10,28.10,16.20,9.00,0.95,10.00,437.00,0
28.90,80.10,8.60,19.70,31.10,10.30,1.61,8.10,562.00,1
33.50,97.10,10.50,24.10,26.80,16.50,2.13,5.10,686.00,2
25.20,42.60,10.50,18.00,24.70,7.00,0.89,10.80,517.00,0
30.20,79.70,21.10,25.30,30.60,6.50,1.63,5.90,609.00,1
35.60,74.60,64.20,76.20,43.90,17.40,2.61,3.50,679.00,2
32.40,64.30,58.10,74.10,14.20,9.70,1.41,5.50,489.00,1
35.00,80.50,43.60,55.10,27.90,11.30,1.65,6.90,664.00,1
37.30,98.60,68.40,85.30,37.50,16.90,2.34,9.00,695.00,2
29.30,78.50,14.80,19.20,29.30,-0.40,1.48,8.00,451.00,1
15.40,64.20,5.50,10.50,15.40,4.10,1.00,12.70,549.00,0
31.00,57.10,22.10,27.20,35.50,8.10,1.54,8.50,713.00,1
29.50,83.30,4.70,22.70,35.90,14.70,2.97,5.20,631.00,2
21.80,61.90,27.40,31.30,23.80,7.70,0.96,10.80,340.00,0
30.20,87.80,3.40,15.90,36.00,14.20,1.47,7.30,399.00,1
28.00,65.10,3.50,5.20,18.70,7.90,0.90,10.70,458.00,0
31.30,46.60,1.40,7.50,21.80,4.40,0.87,10.80,233.00,0
22.80,83.40,28.20,42.90,42.60,9.80,1.71,4.50,818.00,2
25.90,55.80,21.40,29.30,23.40,9.60,1.17,5.70,612.00,1
36.20,87.20,2.40,17.50,50.90,31.50,3.04,5.10,937.00,3
31.40,78.70,7.70,14.30,38.10,17.50,1.75,5.40,549.00,2
34.40,86.30,28.40,50.60,34.50,42.30,2.28,3.20,685.00,3
23.20,57.50,17.80,26.20,11.00,2.90,1.19,10.40,500.00,0
30.50,89.70,117.00,138.70,40.60,33.90,2.22,6.40,574.00,3
24.00,53.40,5.30,10.80,34.80,15.90,1.16,6.40,728.00,1
32.10,73.60,39.40,54.80,39.50,6.80,2.00,4.20,493.00,2
14.10,54.50,3.60,8.30,17.40,7.00,0.99,10.10,238.00,0
27.60,52.00,48.90,53.60,28.70,5.10,1.65,5.60,364.00,1
21.50,72.60,4.50,9.50,22.40,4.70,0.98,12.50,391.00,0
31.30,101.50,33.40,52.80,28.70,18.20,1.97,7.60,488.00,2
28.80,76.60,17.20,34.60,27.90,6.50,1.44,5.40,405.00,1
31.10,56.40,10.70,17.00,12.90,5.10,1.07,10.00,572.00,0
28.00,55.40,3.00,15.10,22.80,21.80,1.76,5.10,405.00,1
38.10,69.30,6.50,23.60,41.60,16.50,1.46,6.40,806.00,2
41.50,91.30,79.50,93.50,30.00,12.80,1.99,10.40,561.00,2
33.10,99.20,17.60,47.10,41.10,26.40,2.45,6.80,623.00,3
28.20,89.50,44.90,53.90,29.10,12.10,1.29,6.70,544.00,1
33.60,81.20,20.20,30.30,30.20,10.60,1.24,6.30,714.00,1
32.50,53.40,45.90,52.70,27.20,10.80,1.21,7.50,513.00,1
24.50,65.20,8.30,14.30,15.00,5.40,1.00,11.20,368.00,0
29.20,74.50,19.60,32.30,29.30,7.90,1.46,11.80,629.00,1
36.20,84.90,42.20,72.00,30.90,23.40,1.98,3.50,619.00,3
27.00,50.40,17.40,30.20,19.10,10.50,1.68,5.60,490.00,1
26.20,47.60,16.40,20.20,24.00,9.90,0.85,11.50,506.00,0
24.50,93.60,22.30,31.70,22.40,11.60,1.81,8.30,585.00,1
28.70,64.60,12.10,17.60,14.20,6.20,1.04,11.10,600.00,0
24.90,64.40,10.90,15.20,14.00,4.40,1.12,10.50,354.00,0
38.30,99.00,8.20,27.20,24.90,13.90,2.69,3.80,808.00,2
25.90,64.20,1.50,10.30,23.60,-0.40,0.93,11.50,386.00,0
22.80,65.10,3.10,10.60,11.10,4.90,0.88,12.00,500.00,0
32.50,75.10,24.90,36.00,25.80,6.30,1.69,6.40,516.00,1
25.10,59.50,6.00,11.30,25.80,0.70,0.90,10.70,231.00,0
32.90,49.60,24.00,28.50,22.00,8.80,1.64,5.30,518.00,1
28.00,80.20,27.70,28.80,34.30,12.30,1.55,6.20,631.00,1
26.10,48.50,5.30,10.50,18.40,5.00,0.99,10.40,547.00,0
28.00,90.30,35.40,58.20,41.20,7.90,2.06,5.10,662.00,2
37.80,79.10,63.00,85.10,52.60,20.10,2.60,6.50,778.00,3
31.60,102.70,80.50,96.90,35.00,1.70,2.00,4.40,630.00,2
30.40,63.80,12.20,22.10,31.30,15.50,1.70,5.00,389.00,1
25.50,38.30,3.60,8.80,19.10,6.60,1.05,17.80,379.00,0
36.60,78.50,6.00,25.90,45.50,17.80,1.58,4.00,470.00,2
29.80,60.20,10.70,19.80,24.90,12.40,2.00,6.40,472.00,1
33.70,96.30,70.80,87.30,32.90,17.00,2.33,4.80,557.00,3
26.20,62.00,79.20,86.00,31.40,7.60,1.46,5.90,615.00,1
27.60,61.50,0.00,4.50,25.10,4.30,1.07,11.00,536.00,0
30.80,60.30,1.10,3.60,21.20,5.10,0.96,11.40,470.00,0
23.70,51.70,19.10,22.20,24.00,7.00,1.07,10.60,371.00,0
43.10,75.50,6.40,14.20,38.80,11.00,2.24,9.00,644.00,2
29.10,61.20,12.10,18.50,17.50,5.10,2.03,9.30,502.00,1
28.40,48.00,11.10,17.70,15.10,7.60,1.06,16.40,334.00,0
34.50,86.10,9.00,21.60,39.10,7.50,1.79,5.20,450.00,1
20.40,52.80,11.70,16.70,24.40,2.30,1.05,10.10,430.00,0
30.90,92.20,10.70,19.00,38.10,9.60,2.55,4.80,429.00,2
23.40,54.70,10.20,12.80,11.40,4.50,1.13,10.90,362.00,0
28.80,76.60,124.10,135.50,32.00,10.00,2.02,5.00,566.00,2
36.40,80.30,103.00,106.40,26.50,22.30,2.38,3.70,844.00,3
29.80,75.80,1.10,19.50,29.70,4.00,1.78,6.30,402.00,1
24.20,55.90,8.40,10.90,17.20,7.20,0.96,14.80,497.00,0
32.10,54.60,3.80,13.60,28.10,20.30,1.54,5.20,701.00,1
31.60,97.60,85.90,101.90,45.00,25.80,1.82,7.40,804.00,2
23.30,42.60,7.40,10.60,23.70,5.20,1.14,13.40,292.00,0
26.70,100.10,3.90,18.10,30.70,15.50,1.62,3.70,457.00,2
31.30,100.30,7.00,26.40,30.40,20.20,2.19,4.20,770.00,2
29.60,83.00,4.00,14.10,22.20,3.20,1.05,11.90,225.00,0
25.30,83.30,33.90,44.00,35.90,9.10,1.41,6.20,488.00,1
26.40,60.30,6.50,13.20,21.80,5.10,0.88,11.10,412.00,0
23.90,61.40,28.20,40.30,37.00,11.30,1.56,6.90,559.00,1
23.90,61.80,3.20,9.90,18.60,5.20,0.93,13.60,438.00,0
32.50,71.30,11.80,30.90,26.10,23.50,2.16,5.40,730.00,2
38.70,71.90,5.40,31.00,50.30,15.60,2.81,6.40,503.00,3
32.40,83.30,2.30,18.40,30.90,15.10,1.54,5.00,355.00,1
26.70,71.30,6.20,12.70,23.60,5.90,1.04,11.10,389.00,0
50.90,79.90,22.50,52.00,38.20,9.00,2.65,8.40,611.00,3
34.70,88.90,8.90,16.10,33.30,8.50,1.19,6.00,447.00,1
33.50,56.10,0.10,8.80,31.20,5.70,1.41,5.60,351.00,1
26.00,54.90,16.60,22.40,21.30,7.00,1.02,12.20,210.00,0
28.20,68.10,7.20,9.10,20.80,4.70,1.07,10.20,379.00,0
23.40,42.50,1.90,6.40,20.60,4.30,1.19,11.30,493.00,0
25.60,52.60,1.90,3.60,13.50,6.20,1.07,11.40,492.00,0
22.50,41.50,0.30,7.10,17.30,3.20,1.01,11.40,212.00,0
33.50,75.70,2.30,18.10,29.40,10.10,1.45,6.00,633.00,1
47.20,78.40,17.90,46.00,42.90,21.10,2.36,2.80,517.00,3
35.80,60.10,2.90,13.90,22.20,14.50,1.59,7.70,661.00,1
29.50,72.70,9.30,25.00,21.20,9.70,1.59,7.50,404.00,1
31.70,47.30,1.20,6.90,11.50,5.50,1.18,15.70,451.00,0
21.50,73.30,1.80,8.50,18.60,8.30,0.94,13.10,207.00,0
40.00,66.10,21.70,41.30,28.10,2.70,1.66,5.90,745.00,2
39.10,82.40,24.30,49.80,28.20,11.50,2.03,8.50,818.00,2
27.20,43.80,18.40,23.10,21.50,2.60,1.03,12.10,253.00,0
39.60,96.20,47.10,65.40,35.80,17.10,2.03,5.20,661.00,2
40.20,91.90,22.30,34.20,43.70,17.40,2.07,3.10,900.00,3
26.40,77.10,20.60,24.80,24.10,12.40,1.46,6.70,576.00,1
47.40,93.10,72.70,96.60,34.30,14.90,2.54,5.70,797.00,3
29.70,74.40,0.60,6.00,22.40,3.50,0.74,11.60,583.00,0
25.20,63.20,8.90,19.60,41.70,9.90,2.14,5.10,473.00,2
25.00,75.70,4.70,9.30,21.20,5.20,1.15,16.00,541.00,0
30.80,67.60,6.00,15.40,29.20,6.00,1.42,8.70,564.00,1
30.20,56.80,0.20,4.70,24.60,10.20,1.49,5.30,696.00,1
21.50,74.60,0.30,8.10,15.90,6.30,1.02,15.60,381.00,0
33.10,84.40,3.70,9.50,17.20,8.90,1.61,5.70,504.00,1
24.10,47.50,22.80,26.00,26.50,4.10,0.91,12.20,406.00,0
35.40,84.60,34.10,42.90,23.90,9.40,1.63,9.10,629.00,1
25.80,76.60,8.60,16.50,22.40,6.20,0.99,16.70,514.00,0
24.70,51.40,18.60,23.50,17.10,5.50,1.01,12.10,443.00,0
23.10,100.80,7.40,30.00,28.50,16.30,1.80,7.20,711.00,2
54.60,90.70,48.90,62.90,30.10,11.50,2.74,3.70,617.00,3
35.90,87.00,26.40,34.10,29.20,17.20,1.33,6.50,619.00,1
30.50,75.10,21.50,34.00,25.60,7.60,1.21,6.10,401.00,1
32.00,48.80,0.70,15.80,16.90,8.60,1.65,5.20,662.00,1
28.30,52.10,5.10,9.80,19.30,2.70,0.90,10.90,271.00,0
31.20,75.90,57.60,80.40,38.90,28.60,2.15,3.40,463.00,2
27.50,55.10,3.80,14.90,20.30,5.20,1.38,6.30,629.00,1
42.70,63.30,82.10,103.40,45.40,29.30,2.26,7.40,747.00,2
30.20,77.20,34.40,44.00,33.60,12.70,1.34,6.40,372.00,1
36.00,70.70,69.50,78.10,29.10,16.20,2.28,7.20,420.00,2
36.50,103.60,19.10,50.40,49.30,7.40,2.15,3.30,879.00,3
26.30,54.70,2.00,8.20,27.90,3.40,1.05,17.00,330.00,0
53.10,70.20,60.30,81.90,32.20,16.00,2.28,2.70,526.00,3
26.50,52.80,1.20,10.00,26.50,3.40,0.91,12.10,377.00,0
20.30,66.80,18.90,21.10,25.50,5.00,0.96,11.30,416.00,0
30.00,66.10,17.30,25.30,30.50,6.00,1.55,8.00,482.00,1
32.00,79.00,117.80,127.80,39.40,28.40,2.75,9.20,774.00,3
26.20,41.00,0.30,6.40,23.40,7.30,1.05,10.50,432.00,0
24.60,46.50,5.90,13.00,14.20,6.70,0.96,10.50,547.00,0
24.30,72.90,1.90,10.40,22.70,2.10,0.89,10.80,300.00,0
22.70,70.90,15.80,19.60,17.40,5.60,0.99,11.40,516.00,0
23.80,57.90,21.90,27.30,21.90,4.30,1.02,11.10,336.00,0
24.30,69.10,60.10,76.50,21.40,9.20,1.44,5.70,512.00,1
32.70,94.80,7.80,15.20,34.10,9.80,1.63,5.40,392.00,1
29.00,51.70,8.40,13.00,16.50,5.00,1.01,10.10,226.00,0
27.70,69.10,13.60,19.10,21.60,4.60,1.07,10.50,231.00,0
24.60,64.60,17.10,20.30,20.50,6.70,0.90,10.50,355.00,0
21.90,77.40,21.10,27.80,21.10,4.50,1.03,10.00,384.00,0
23.70,75.40,8.40,15.00,24.20,2.60,1.01,11.50,275.00,0
26.70,41.80,1.50,6.50,25.50,2.50,1.07,10.50,303.00,0
32.80,81.00,13.60,22.20,35.20,7.30,1.31,9.10,534.00,1
28.90,109.50,3.60,21.70,62.10,13.50,2.35,2.70,678.00,3
29.70,80.80,7.30,14.80,30.40,7.20,1.73,8.40,606.00,1
20.00,79.10,1.40,3.50,22.50,4.80,0.89,10.30,407.00,0
32.90,66.90,5.20,8.60,30.60,14.00,1.47,10.50,485.00,1
21.80,69.00,0.70,7.90,10.20,6.30,0.95,11.60,489.00,0
20.50,58.30,1.80,6.70,14.60,4.80,0.78,16.00,260.00,0
25.40,59.10,16.00,16.60,15.20,6.80,1.04,10.50,439.00,0
22.20,74.00,90.00,99.80,29.10,10.70,1.94,5.20,573.00,2
40.60,95.10,37.40,46.70,42.90,21.30,2.16,2.80,679.00,3
33.20,60.00,54.50,65.50,20.20,7.90,1.42,9.00,418.00,1
28.50,69.00,16.30,25.30,23.00,7.70,1.71,5.50,344.00,1
30.30,86.70,6.20,30.20,36.50,17.80,2.31,2.90,465.00,3
34.90,96.20,48.50,66.50,29.00,15.20,2.40,6.00,569.00,2
28.00,76.60,24.80,35.90,28.10,13.40,1.53,7.40,440.00,1
27.00,92.60,9.90,20.10,24.30,11.10,1.19,6.20,453.00,1
24.10,65.60,0.20,7.10,24.70,6.10,1.10,13.20,370.00,0
34.00,63.30,3.00,23.60,28.60,14.20,2.07,10.10,548.00,2
25.70,69.30,64.50,78.80,26.50,10.30,1.87,12.20,579.00,2
23.50,62.50,1.80,7.30,25.20,3.40,1.16,11.70,501.00,0
22.10,50.40,4.00,11.50,14.30,9.70,0.95,13.60,466.00,0
29.60,44.20,24.70,27.30,27.50,7.70,1.01,10.50,315.00,0
38.80,90.10,63.20,69.50,44.70,23.50,2.35,3.50,771.00,3
29.80,62.80,22.20,32.80,36.90,1.10,1.55,5.00,437.00,1
26.60,54.50,3.90,10.30,24.20,5.50,1.09,10.30,580.00,0
35.50,84.70,9.40,20.00,25.30,14.90,1.55,6.70,626.00,1
37.10,72.40,60.30,68.40,35.50,14.00,2.17,3.40,580.00,2
35.40,65.00,22.60,46.20,37.50,23.00,2.01,3.70,509.00,2
42.20,66.00,33.30,51.40,48.00,12.80,2.54,3.60,709.00,3
24.70,79.40,5.90,9.00,19.30,0.70,0.91,10.60,219.00,0
28.70,63.60,4.20,10.20,20.80,3.20,0.92,11.60,487.00,0
20.80,68.00,7.40,11.40,10.60,7.40,0.95,10.80,316.00,0
21.70,45.40,19.90,25.30,22.80,3.90,0.78,13.80,385.00,0
34.40,85.00,31.70,53.60,50.50,35.40,2.50,3.80,822.00,3
19.40,70.60,8.20,14.20,21.10,0.40,0.99,10.20,262.00,0
26.00,68.30,7.80,13.90,11.70,2.70,0.99,12.30,307.00,0
50.30,97.40,17.50,38.70,46.50,32.90,2.49,4.80,588.00,3
20.50,80.00,1.00,3.20,23.60,2.80,0.91,13.40,276.00,0
36.70,75.10,19.70,40.70,38.10,26.60,2.67,11.50,875.00,3
24.30,44.20,9.50,12.50,18.80,-0.20,0.83,10.60,341.00,0
34.00,73.40,3.50,18.70,29.60,8.20,1.38,6.50,522.00,1
37.00,93.90,17.00,34.10,33.30,11.40,1.86,3.10,684.00,3
29.20,60.60,1.70,16.00,32.70,13.30,1.91,7.20,637.00,1
23.10,43.10,4.10,7.90,22.70,8.00,1.03,10.10,499.00,0
19.60,55.50,0.10,3.90,18.90,5.30,1.10,10.60,198.00,0
26.30,66.70,1.30,5.70,16.40,5.90,0.97,15.60,205.00,0
24.00,56.90,2.90,6.90,13.00,8.20,1.14,11.30,360.00,0
24.30,48.20,16.80,25.90,19.40,3.90,0.97,14.80,544.00,0
25.30,77.00,4.60,11.20,20.10,6.40,1.03,11.30,282.00,0
27.80,78.10,1.10,19.80,26.70,10.70,1.28,9.30,376.00,1
44.00,80.40,18.00,29.50,27.90,8.50,2.12,4.10,685.00,2
22.60,46.70,19.20,26.80,26.50,6.70,0.82,13.70,354.00,0
30.80,47.70,11.00,16.40,25.70,5.50,1.11,10.10,332.00,0
